Name,Sex,Age,Height,Weight,NOC,Year,Season,Sport,Event,Medals
Lee Ho-Yeon,F,21,,,KOR,1992,Summer,Handball,Handball Women's Handball,Gold
"Howard Stewart ""Howie"" Lee",M,26,175,80,CAN,1956,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Lee Hyeong-Geun,M,23,170,85,KOR,1988,Summer,Weightlifting,Weightlifting Men's Light-Heavyweight,Bronze
Lee Hyeong-Suk,F,19,173,65,KOR,1984,Summer,Basketball,Basketball Women's Basketball,Silver
Lee Hyo-Jeong,F,27,181,74,KOR,2008,Summer,Badminton,Badminton Mixed Doubles,Gold
Lee Hyo-Jeong,F,27,181,74,KOR,2008,Summer,Badminton,Badminton Women's Doubles,Silver
Lee Jae-Hyeok,M,19,169,57,KOR,1988,Summer,Boxing,Boxing Men's Featherweight,Bronze
Lee Jae-Jin,M,25,178,73,KOR,2008,Summer,Badminton,Badminton Men's Doubles,Bronze
Lee Ji-Yeong,F,24,,,KOR,1996,Summer,Hockey,Hockey Women's Hockey,Silver
Lee Jin-Yeong,M,28,185,90,KOR,2008,Summer,Baseball,Baseball Men's Baseball,Gold
Lee Jong-Uk,M,28,176,77,KOR,2008,Summer,Baseball,Baseball Men's Baseball,Gold
Lee Ju-Hyeong,M,27,163,61,KOR,2000,Summer,Gymnastics,Gymnastics Men's Parallel Bars,Silver
Lee Ju-Hyeong,M,27,163,61,KOR,2000,Summer,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze
Lee Lai Shan,F,25,170,59,HKG,1996,Summer,Sailing,Sailing Women's Windsurfer,Gold
Lee Mi-Ja,F,20,175,67,KOR,1984,Summer,Basketball,Basketball Women's Basketball,Silver
Lee Mi-Yeong,F,23,,,KOR,1992,Summer,Handball,Handball Women's Handball,Gold
Lee Min-Hui,F,28,174,65,KOR,2008,Summer,Handball,Handball Women's Handball,Bronze
Norvel Lafollette Ray Lee,M,27,,,USA,1952,Summer,Boxing,Boxing Men's Light-Heavyweight,Gold
"Samuel ""Sammy"" Lee",M,27,,,USA,1948,Summer,Diving,Diving Men's Springboard,Bronze
"Samuel ""Sammy"" Lee",M,27,,,USA,1948,Summer,Diving,Diving Men's Platform,Gold
"Samuel ""Sammy"" Lee",M,31,,,USA,1952,Summer,Diving,Diving Men's Platform,Gold
Lee Sang-Eun,F,21,172,68,KOR,1996,Summer,Handball,Handball Women's Handball,Silver
Lee Sang-Eun,F,29,172,68,KOR,2004,Summer,Handball,Handball Women's Handball,Silver
Lee Sang-Hwa,F,20,165,62,KOR,2010,Winter,Speed Skating,Speed Skating Women's 500 metres,Gold
Lee Sang-Hwa,F,24,165,62,KOR,2014,Winter,Speed Skating,Speed Skating Women's 500 metres,Gold
Lee Sang-Hyo,M,27,181,77,KOR,1988,Summer,Handball,Handball Men's Handball,Silver
Lee Seon-Hui,F,21,170,63,KOR,2000,Summer,Taekwondo,Taekwondo Women's Welterweight,Gold
Lee Seong-Jin,F,19,164,65,KOR,2004,Summer,Archery,Archery Women's Individual,Silver
Lee Seong-Jin,F,19,164,65,KOR,2004,Summer,Archery,Archery Women's Team,Gold
Lee Seong-Jin,F,27,164,65,KOR,2012,Summer,Archery,Archery Women's Team,Gold
Lee Seung-Bae,M,21,184,81,KOR,1992,Summer,Boxing,Boxing Men's Middleweight,Bronze
Lee Seung-Bae,M,25,184,81,KOR,1996,Summer,Boxing,Boxing Men's Light-Heavyweight,Silver
Lee Seung-Ho,M,19,,,KOR,2000,Summer,Baseball,Baseball Men's Baseball,Bronze
Lee Seung-Hun,M,25,178,70,KOR,2014,Winter,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Silver
Lee Seung-Yeop,M,24,183,92,KOR,2000,Summer,Baseball,Baseball Men's Baseball,Bronze
Lee Seung-Yeop,M,31,183,92,KOR,2008,Summer,Baseball,Baseball Men's Baseball,Gold
Lee Seung-Yun,M,21,174,80,KOR,2016,Summer,Archery,Archery Men's Team,Gold
Lee Sun-Bok,F,26,168,60,KOR,1976,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
Lee Sun-I,F,18,170,63,KOR,1984,Summer,Handball,Handball Women's Handball,Silver
Lee Sun-Ok,F,20,167,60,KOR,1976,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
Susan Lee (-Brosnan),F,18,164,45,AUS,1984,Summer,Rowing,Rowing Women's Coxed Fours,Bronze
Lee Taek-Geun,M,28,182,83,KOR,2008,Summer,Baseball,Baseball Men's Baseball,Gold
Travis Reynolds Lee,M,21,190,93,USA,1996,Summer,Baseball,Baseball Men's Baseball,Bronze
Virginia Lee,F,31,173,59,AUS,1996,Summer,Rowing,Rowing Women's Lightweight Double Sculls,Bronze
Lee Wai Sze,F,25,165,62,HKG,2012,Summer,Cycling,Cycling Women's Keirin,Bronze
Lee Won-Hui,M,23,172,73,KOR,2004,Summer,Judo,Judo Men's Lightweight,Gold
Lee Yeong-Ja,F,20,169,62,KOR,1984,Summer,Handball,Handball Women's Handball,Silver
Lee Yong-Dae,M,19,180,74,KOR,2008,Summer,Badminton,Badminton Mixed Doubles,Gold
Lee Yong-Dae,M,23,180,74,KOR,2012,Summer,Badminton,Badminton Men's Doubles,Bronze
Lee Yong-Gyu,M,22,175,70,KOR,2008,Summer,Baseball,Baseball Men's Baseball,Gold
Zoe Samantha Lee,F,30,176,70,GBR,2016,Summer,Rowing,Rowing Women's Coxed Eights,Silver
Kerrin Anne Lee-Gartner,F,25,171,63,CAN,1992,Winter,Alpine Skiing,Alpine Skiing Women's Downhill,Gold
Faith Yvonne Leech (-Touhy),F,15,178,,AUS,1956,Summer,Swimming,Swimming Women's 100 metres Freestyle,Bronze
Faith Yvonne Leech (-Touhy),F,15,178,,AUS,1956,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Ruurd Gerbens Leegstra,M,22,,,NED,1900,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
Marrit Leenstra,F,24,170,59,NED,2014,Winter,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Gold
Brian Joseph Leetch,M,33,185,91,USA,2002,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Rolf Lefdahl,M,25,,,NOR,1908,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
Hubert Jean Daniel Lefbvre,M,21,,,FRA,1900,Summer,Rugby,Rugby Men's Rugby,Gold
Clment Lefert,M,24,185,73,FRA,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Clment Lefert,M,24,185,73,FRA,2012,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Cecilie Leganger,F,25,179,76,NOR,2000,Summer,Handball,Handball Women's Handball,Bronze
"Robert Lucien Pierre ""Bob"" LeGendre",M,26,190,88,USA,1924,Summer,Athletics,Athletics Men's Pentathlon,Bronze
Waldemar Legie,M,25,180,85,POL,1988,Summer,Judo,Judo Men's Half-Middleweight,Gold
Waldemar Legie,M,28,180,85,POL,1992,Summer,Judo,Judo Men's Middleweight,Gold
Aleksandr Gennadyevich Legkov,M,30,177,65,RUS,2014,Winter,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,Gold
Aleksandr Gennadyevich Legkov,M,30,177,65,RUS,2014,Winter,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,Silver
Ugo Legrand,M,23,175,73,FRA,2012,Summer,Judo,Judo Men's Lightweight,Bronze
Karl Georg Lehle,M,27,,,GER,1900,Summer,Rowing,Rowing Men's Coxed Fours,Bronze
Bernhard Lehmann,M,27,185,91,GDR,1976,Winter,Bobsleigh,Bobsleigh Men's Four,Gold
Bernhard Lehmann,M,35,185,91,GDR,1984,Winter,Bobsleigh,Bobsleigh Men's Two,Silver
Bernhard Lehmann,M,35,185,91,GDR,1984,Winter,Bobsleigh,Bobsleigh Men's Four,Silver
Bernhard Lehmann,M,39,185,91,GDR,1988,Winter,Bobsleigh,Bobsleigh Men's Two,Bronze
Heike Lehmann (-Grund),F,18,179,68,GDR,1980,Summer,Volleyball,Volleyball Women's Volleyball,Silver
Helma Lehmann (Mhren-),F,23,183,75,GDR,1976,Summer,Rowing,Rowing Women's Coxed Eights,Gold
Karl-Heinz Lehmann,M,23,169,71,GDR,1980,Summer,Judo,Judo Men's Lightweight,Bronze
Sonja Lehmann (-Dittbrenner),F,24,172,65,GER,2004,Summer,Hockey,Hockey Women's Hockey,Gold
Walter Lehmann,M,29,,,SUI,1948,Summer,Gymnastics,Gymnastics Men's Individual All-Around,Silver
Walter Lehmann,M,29,,,SUI,1948,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
Walter Lehmann,M,29,,,SUI,1948,Summer,Gymnastics,Gymnastics Men's Horizontal Bar,Silver
Heikki Heikinpoika Lehmusto (Lindholm-),M,23,,,FIN,1908,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Unni Lehn,F,23,163,59,NOR,2000,Summer,Football,Football Women's Football,Gold
Klaus Lehnertz,M,26,183,75,GER,1964,Summer,Athletics,Athletics Men's Pole Vault,Bronze
Veli Veikko Valtteri Lehtel,M,21,183,75,FIN,1956,Summer,Rowing,Rowing Men's Coxed Fours,Bronze
Veli Veikko Valtteri Lehtel,M,24,183,75,FIN,1960,Summer,Rowing,Rowing Men's Coxless Pairs,Bronze
Jori Jonatan Lehter,M,26,187,97,FIN,2014,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Tero Juhani Lehter,M,21,183,85,FIN,1994,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Marika Johanna Lehtimki,F,23,164,65,FIN,1998,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
Jere Kalervo Lehtinen,M,20,183,88.5,FIN,1994,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Jere Kalervo Lehtinen,M,24,183,88.5,FIN,1998,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Jere Kalervo Lehtinen,M,32,183,88.5,FIN,2006,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Jere Kalervo Lehtinen,M,36,183,88.5,FIN,2010,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Silja Lehtinen,F,26,168,63,FIN,2012,Summer,Sailing,Sailing Women's Three Person Keelboat,Bronze
Katja Maarit Lehto,F,25,160,58,FIN,1998,Winter,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
Eero Reino Lehtonen,M,22,184,78,FIN,1920,Summer,Athletics,Athletics Men's Pentathlon,Gold
Eero Reino Lehtonen,M,26,184,78,FIN,1924,Summer,Athletics,Athletics Men's Pentathlon,Gold
Erkki Tapani Lehtonen,M,31,178,80,FIN,1988,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Silver
Kari Lehtonen,M,30,193,91,FIN,2014,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Mirja Annikki Lehtonen (-Kierros),F,21,165,54,FIN,1964,Winter,Cross Country Skiing,Cross Country Skiing Women's 5 kilometres,Silver
Mirja Annikki Lehtonen (-Kierros),F,21,165,54,FIN,1964,Winter,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
Lei Li,F,28,166,56,CHN,1996,Summer,Softball,Softball Women's Softball,Silver
Gnter Wilhelm Leichum,M,25,174,70,GER,1936,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Arthur Francis Leighton,M,31,,,GBR,1920,Summer,Hockey,Hockey Men's Hockey,Gold
Leila de Souza Sobral Freitas,F,21,187,83,BRA,1996,Summer,Basketball,Basketball Women's Basketball,Silver
Leila de Gomes de Barros,F,24,179,72,BRA,1996,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
Leila de Gomes de Barros,F,28,179,72,BRA,2000,Summer,Volleyball,Volleyball Women's Volleyball,Bronze
Erkki Olavi Leimuvirta,M,20,178,67.5,FIN,1956,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Walter Leinweber,M,24,193,,GER,1932,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Levi Leipheimer,M,34,173,62,USA,2008,Summer,Cycling,Cycling Men's Individual Time Trial,Bronze
"Leonard John ""Len"" Leisching",M,17,,,RSA,1952,Summer,Boxing,Boxing Men's Featherweight,Bronze
Walter Leiser,M,21,,,SUI,1952,Summer,Rowing,Rowing Men's Coxed Fours,Silver
Nicole Leistenschneider (-Mikisch),F,17,175,55,FRG,1984,Summer,Athletics,Athletics Women's 4 x 400 metres Relay,Bronze
Frank Jan Anton Leistra,M,28,185,89,NED,1988,Summer,Hockey,Hockey Men's Hockey,Bronze
Jorge Luiz Fernandes Leite,M,18,188,87,BRA,1980,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
"Mathias ""Hias"" Leitner",M,24,,,AUT,1960,Winter,Alpine Skiing,Alpine Skiing Men's Slalom,Silver
Patric-Fritz Leitner,M,24,189,88,GER,2002,Winter,Luge,Luge Mixed (Men)'s Doubles,Gold
Patric-Fritz Leitner,M,32,189,88,GER,2010,Winter,Luge,Luge Mixed (Men)'s Doubles,Bronze
Leif Thomas Lejdstrm,M,22,189,79,SWE,1984,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
"Elisabeth Anne Marie ""Lisanne"" Lejeune",F,25,173,58,NED,1988,Summer,Hockey,Hockey Women's Hockey,Bronze
"Helena Johanna ""Helen"" Lejeune-van der Ben",F,24,182,72,NED,1988,Summer,Hockey,Hockey Women's Hockey,Bronze
ana Lelas,F,18,188,70,YUG,1988,Summer,Basketball,Basketball Women's Basketball,Silver
Charles Louis Lelong,M,21,,,FRA,1912,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Silver
Hans Schumann Lem,M,19,169,86,NOR,1908,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
Paulin Alexandre Lemaire,M,37,,,FRA,1920,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Christophe Alexandre Christian Lematre,M,22,190,74,FRA,2012,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Christophe Alexandre Christian Lematre,M,26,190,74,FRA,2016,Summer,Athletics,Athletics Men's 200 metres,Bronze
Richard Alexander Leman,M,25,179,75,GBR,1984,Summer,Hockey,Hockey Men's Hockey,Bronze
Richard Alexander Leman,M,29,179,75,GBR,1988,Summer,Hockey,Hockey Men's Hockey,Gold
Justin William Lemberg,M,17,183,78,AUS,1984,Summer,Swimming,Swimming Men's 400 metres Freestyle,Bronze
Vyacheslav Ivanovich Lemeshev,M,20,178,74,URS,1972,Summer,Boxing,Boxing Men's Middleweight,Gold
Dezs Lemhnyi (Kollmann),M,30,,,HUN,1948,Summer,Water Polo,Water Polo Men's Water Polo,Silver
Dezs Lemhnyi (Kollmann),M,34,,,HUN,1952,Summer,Water Polo,Water Polo Men's Water Polo,Gold
Mario Lemieux,M,36,192,102,CAN,2002,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
Finn Lemke,M,24,210,115,GER,2016,Summer,Handball,Handball Men's Handball,Bronze
Eric Otto Valdemar Lemming,M,26,190,88,SWE,1906,Summer,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Bronze
Eric Otto Valdemar Lemming,M,26,190,88,SWE,1906,Summer,Athletics,Athletics Men's Shot Put,Bronze
Eric Otto Valdemar Lemming,M,26,190,88,SWE,1906,Summer,Athletics,Athletics Men's Pentathlon (Ancient),Bronze
Eric Otto Valdemar Lemming,M,28,190,88,SWE,1908,Summer,Athletics,Athletics Men's Javelin Throw,Gold
Eric Otto Valdemar Lemming,M,32,190,88,SWE,1912,Summer,Athletics,Athletics Men's Javelin Throw,Gold
S. Lemonis,M,,,,GRE,1906,Summer,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Silver
Jean-Claude Lemoult,M,23,168,61,FRA,1984,Summer,Football,Football Men's Football,Gold
Ingrid Lempereur,F,15,164,57,BEL,1984,Summer,Swimming,Swimming Women's 200 metres Breaststroke,Bronze
Kaino Johannes Lempinen,M,31,167,67,FIN,1952,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Juan Carlos Lemus Garca,M,27,159,71,CUB,1992,Summer,Boxing,Boxing Men's Light-Middleweight,Gold
Deon Christopher Lendore,M,19,179,75,TTO,2012,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze
Suzanne Rachel Flore Lenglen,F,20,,,FRA,1920,Summer,Tennis,Tennis Women's Singles,Gold
Suzanne Rachel Flore Lenglen,F,20,,,FRA,1920,Summer,Tennis,Tennis Mixed Doubles,Gold
Suzanne Rachel Flore Lenglen,F,20,,,FRA,1920,Summer,Tennis,Tennis Women's Doubles,Bronze
rpd Lengyel,M,20,,,HUN,1936,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Julius Lenhart,M,28,168,,AUT,1904,Summer,Gymnastics,Gymnastics Men's Individual All-Around,Gold
Hans Lenk,M,25,177,80,GER,1960,Summer,Rowing,Rowing Men's Coxed Eights,Gold
"Lisbeth Constance ""Libby"" Lenton-Trickett",F,19,167,60,AUS,2004,Summer,Swimming,Swimming Women's 50 metres Freestyle,Bronze
"Lisbeth Constance ""Libby"" Lenton-Trickett",F,19,167,60,AUS,2004,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
"Lisbeth Constance ""Libby"" Lenton-Trickett",F,23,167,60,AUS,2008,Summer,Swimming,Swimming Women's 100 metres Freestyle,Silver
"Lisbeth Constance ""Libby"" Lenton-Trickett",F,23,167,60,AUS,2008,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
"Lisbeth Constance ""Libby"" Lenton-Trickett",F,23,167,60,AUS,2008,Summer,Swimming,Swimming Women's 100 metres Butterfly,Gold
"Lisbeth Constance ""Libby"" Lenton-Trickett",F,23,167,60,AUS,2008,Summer,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Gold
"Lisbeth Constance ""Libby"" Lenton-Trickett",F,27,167,60,AUS,2012,Summer,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Gold
Mark Edward Lenzi,M,24,165,66,USA,1992,Summer,Diving,Diving Men's Springboard,Gold
Mark Edward Lenzi,M,28,165,66,USA,1996,Summer,Diving,Diving Men's Springboard,Bronze
Fernando Lon Boissier,M,30,180,72,ESP,1996,Summer,Sailing,Sailing Mixed Multihull,Gold
Yankiel Len Alarcon,M,26,163,54,CUB,2008,Summer,Boxing,Boxing Men's Bantamweight,Silver
Edgar Welch Leonard,M,23,,,USA,1904,Summer,Tennis,Tennis Men's Singles,Bronze
Edgar Welch Leonard,M,23,,,USA,1904,Summer,Tennis,Tennis Men's Doubles,Gold
Silvio Leonard Sarra,M,24,173,64,CUB,1980,Summer,Athletics,Athletics Men's 100 metres,Silver
"Ray Charles ""Sugar Ray"" Leonard",M,20,178,62,USA,1976,Summer,Boxing,Boxing Men's Light-Welterweight,Gold
Natascia Leonardi Cortesi,F,30,163,51,SUI,2002,Winter,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
Raffaello Leonardo,M,31,190,94,ITA,2004,Summer,Rowing,Rowing Men's Coxless Fours,Bronze
Heorhiy Ihorovych Leonchuk,M,30,193,82,UKR,2004,Summer,Sailing,Sailing Mixed Skiff,Silver
Giuseppina Leone (-Paoletti),F,25,168,58,ITA,1960,Summer,Athletics,Athletics Women's 100 metres,Bronze
Valerios Leonidis,M,30,164,64,GRE,1996,Summer,Weightlifting,Weightlifting Men's Featherweight,Silver
Dmytro Maksymovych Leonkin,M,23,,,URS,1952,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
Dmytro Maksymovych Leonkin,M,23,,,URS,1952,Summer,Gymnastics,Gymnastics Men's Rings,Bronze
Aleksandra Aleksandrovna Leonova (-Rzhevskaya),F,24,176,63,URS,1988,Summer,Basketball,Basketball Women's Basketball,Bronze
Viktor Anatolyevich Leontyev,M,24,168,63,URS,1964,Summer,Gymnastics,Gymnastics Men's Team All-Around,Silver
Galina Aleksandrovna Leontyeva (Yelnitskaya-),F,26,170,74,URS,1968,Summer,Volleyball,Volleyball Women's Volleyball,Gold
Galina Aleksandrovna Leontyeva (Yelnitskaya-),F,30,170,74,URS,1972,Summer,Volleyball,Volleyball Women's Volleyball,Gold
Victoria Lepdatu,F,21,,,ROU,1992,Summer,Rowing,Rowing Women's Coxed Eights,Silver
Marcel Pierre Lepan,M,14,,,FRA,1924,Summer,Rowing,Rowing Men's Coxed Fours,Silver
Amy Elizabeth LePeilbet,F,30,170,65,USA,2012,Summer,Football,Football Women's Football,Gold
Dmitry Mikhaylovich Lepikov,M,20,,,EUN,1992,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Gold
Sami Lepist,M,25,186,85,FIN,2010,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Sami Lepist,M,29,186,85,FIN,2014,Winter,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
Florence Lepron,F,27,182,64,FRA,2012,Summer,Basketball,Basketball Women's Basketball,Silver
Kristoffer Lepse,M,26,,,NOR,1948,Summer,Rowing,Rowing Men's Coxed Eights,Bronze
Barbara Lerczak-Janiszewska-Sobotta (-Nowicka),F,23,163,60,POL,1960,Summer,Athletics,Athletics Women's 4 x 100 metres Relay,Bronze
Sydney Rae Leroux (-Dwyer),F,22,170,66,USA,2012,Summer,Football,Football Women's Football,Gold
Robert LeRoy,M,19,,,USA,1904,Summer,Tennis,Tennis Men's Singles,Silver
Robert LeRoy,M,19,,,USA,1904,Summer,Tennis,Tennis Men's Doubles,Silver
Mario Lertora,M,26,165,,ITA,1924,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
Mario Lertora,M,34,165,,ITA,1932,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
Mario Lertora,M,34,165,,ITA,1932,Summer,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
Sheila W. Lerwill (Alexander-),F,23,171,63,GBR,1952,Summer,Athletics,Athletics Women's High Jump,Silver
Andr Paul Henri Nol Lesauvage,M,37,,,FRA,1928,Summer,Sailing,Sailing Mixed 8 metres,Gold
Nataliya Valeryevna Leshchik,F,17,176,,BLR,2012,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Jean Lesieur,M,,,,FRA,1928,Summer,Sailing,Sailing Mixed 8 metres,Gold
Lisa Deshawn Leslie (-Lockwood),F,24,196,77,USA,1996,Summer,Basketball,Basketball Women's Basketball,Gold
Lisa Deshawn Leslie (-Lockwood),F,28,196,77,USA,2000,Summer,Basketball,Basketball Women's Basketball,Gold
Lisa Deshawn Leslie (-Lockwood),F,32,196,77,USA,2004,Summer,Basketball,Basketball Women's Basketball,Gold
Lisa Deshawn Leslie (-Lockwood),F,36,196,77,USA,2008,Summer,Basketball,Basketball Women's Basketball,Gold
Marek Leniewski,M,25,185,76,POL,1988,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Petar Lesov,M,19,168,50,BUL,1980,Summer,Boxing,Boxing Men's Flyweight,Gold
Tatyana Dmitriyevna Lesovaya (Starodubtseva-),F,24,176,85,URS,1980,Summer,Athletics,Athletics Women's Discus Throw,Bronze
Ernest Lespinasse,M,22,,,FRA,1920,Summer,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Erik Lesser,M,25,170,70,GER,2014,Winter,Biathlon,Biathlon Men's 20 kilometres,Silver
Erik Lesser,M,25,170,70,GER,2014,Winter,Biathlon,Biathlon Men's 4 x 7.5 kilometres Relay,Silver
Klas Ivar Vilhelm Lestander,M,28,,,SWE,1960,Winter,Biathlon,Biathlon Men's 20 kilometres,Gold
"Jocelyn Mavis ""Joyce"" Lester",F,38,172,70,AUS,1996,Summer,Softball,Softball Women's Softball,Bronze
Richard C. Lester,M,27,187,85,GBR,1976,Summer,Rowing,Rowing Men's Coxed Eights,Silver
Emily LeSueur (Porter-),F,23,170,55,USA,1996,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Gold
Aleksandr Leonidovich Lesun,M,28,185,74,RUS,2016,Summer,Modern Pentathlon,Modern Pentathlon Men's Individual,Gold
Joanna Leszczyska,F,27,183,75,POL,2016,Summer,Rowing,Rowing Women's Quadruple Sculls,Bronze
Fanny Ltourneau,F,21,165,59,CAN,2000,Summer,Synchronized Swimming,Synchronized Swimming Women's Team,Bronze
Evelyne Leu,F,29,167,62,SUI,2006,Winter,Freestyle Skiing,Freestyle Skiing Women's Aerials,Gold
Georges Robert Flix Constant Leuillieux,M,20,,,FRA,1900,Summer,Swimming,Swimming Men's 200 metres Team Swimming,Bronze
Melanie Leupolz,F,22,173,52,GER,2016,Summer,Football,Football Women's Football,Gold
Laurien Leurink,F,21,173,67,NED,2016,Summer,Hockey,Hockey Women's Hockey,Silver
Elena Leutean-Popescu (-Teodorescu),F,21,162,58,ROU,1956,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Elena Leutean-Popescu (-Teodorescu),F,21,162,58,ROU,1956,Summer,Gymnastics,Gymnastics Women's Floor Exercise,Bronze
Elena Leutean-Popescu (-Teodorescu),F,25,162,58,ROU,1960,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Hans Leutenegger,M,32,181,90,SUI,1972,Winter,Bobsleigh,Bobsleigh Men's Four,Gold
Istvn Lvai,M,23,180,91,HUN,1980,Summer,Boxing,Boxing Men's Heavyweight,Bronze
Allar Levandi,M,22,180,74,URS,1988,Winter,Nordic Combined,Nordic Combined Men's Individual,Bronze
Robert Levasseur,M,22,179,85,FRA,1920,Summer,Rugby,Rugby Men's Rugby,Silver
Ambrogio Levati,M,26,,,ITA,1920,Summer,Gymnastics,Gymnastics Men's Team All-Around,Gold
Amaury Raymond Leveaux,M,22,202,88,FRA,2008,Summer,Swimming,Swimming Men's 50 metres Freestyle,Silver
Amaury Raymond Leveaux,M,22,202,88,FRA,2008,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Amaury Raymond Leveaux,M,26,202,88,FRA,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Amaury Raymond Leveaux,M,26,202,88,FRA,2012,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Caitlin Leverenz,F,21,173,73,USA,2012,Summer,Swimming,Swimming Women's 200 metres Individual Medley,Bronze
Yuliya Aleksandrovna Levina,F,27,184,80,RUS,2000,Summer,Rowing,Rowing Women's Quadruple Sculls,Bronze
Olga Sergeyevna Levina-Akopyan,F,31,176,63,RUS,2016,Summer,Handball,Handball Women's Handball,Gold
Vasily Alekseyevich Levit,M,28,185,91,KAZ,2016,Summer,Boxing,Boxing Men's Heavyweight,Silver
Kroly Levitzky,M,22,,69,HUN,1908,Summer,Rowing,Rowing Men's Single Sculls,Bronze
Virgilio Felice Levratto,M,23,,,ITA,1928,Summer,Football,Football Men's Football,Bronze
Maximilian Levy,M,21,182,87,GER,2008,Summer,Cycling,Cycling Men's Team Sprint,Bronze
Maximilian Levy,M,25,182,87,GER,2012,Summer,Cycling,Cycling Men's Keirin,Silver
Maximilian Levy,M,25,182,87,GER,2012,Summer,Cycling,Cycling Men's Team Sprint,Bronze
Pierre Lewden,M,23,167,64,FRA,1924,Summer,Athletics,Athletics Men's High Jump,Bronze
Jeannette Marianne Lewin,F,24,172,63,NED,1996,Summer,Hockey,Hockey Women's Hockey,Bronze
Bradley Alan Lewis,M,29,193,89,USA,1984,Summer,Rowing,Rowing Men's Double Sculls,Gold
Brian M. Lewis,M,25,170,72,USA,2000,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,Gold
