Name,Sex,Age,Height,Weight,NOC,Year,Season,Sport,Event,Medals
Ahmad Abughaush,M,20,178,68,JOR,2016,Summer,Taekwondo,Taekwondo Men's Featherweight,Gold
Ginko Abukawa-Chiba,F,26,148,46,JPN,1964,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Andreea Roxana Acatrinei,F,16,150,40,ROU,2008,Summer,Gymnastics,Gymnastics Women's Team All-Around,Bronze
William Accambray,M,24,194,104,FRA,2012,Summer,Handball,Handball Men's Handball,Gold
Paul Accola,M,20,176,82,SUI,1988,Winter,Alpine Skiing,Alpine Skiing Men's Combined,Bronze
Domingo Gmez-Acedo Villanueva,M,21,,,ESP,1920,Summer,Football,Football Men's Football,Silver
Anibl Santiago Acevedo,M,21,176,67,PUR,1992,Summer,Boxing,Boxing Men's Welterweight,Bronze
Joachim Yaw Acheampong,M,18,181,73,GHA,1992,Summer,Football,Football Men's Football,Bronze
Alfred Achermann,M,24,176,75,SUI,1984,Summer,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Abdel Hak Achik,M,29,165,54,MAR,1988,Summer,Boxing,Boxing Men's Featherweight,Bronze
Mohamed Abdelhak Achik,M,27,174,57,MAR,1992,Summer,Boxing,Boxing Men's Bantamweight,Bronze
Rita Nikolayevna Achkina,F,30,168,63,URS,1968,Winter,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,Bronze
Chantal Achterberg,F,27,172,72,NED,2012,Summer,Rowing,Rowing Women's Coxed Eights,Bronze
Chantal Achterberg,F,31,172,72,NED,2016,Summer,Rowing,Rowing Women's Quadruple Sculls,Silver
Paul Douglas Ackerley,M,27,179,68,NZL,1976,Summer,Hockey,Hockey Men's Hockey,Gold
Ronny Ackermann,M,24,184,69,GER,2002,Winter,Nordic Combined,Nordic Combined Men's Team,Silver
Ronny Ackermann,M,24,184,69,GER,2002,Winter,Nordic Combined,Nordic Combined Men's Sprint,Silver
Ronny Ackermann,M,28,184,69,GER,2006,Winter,Nordic Combined,Nordic Combined Men's Team,Silver
Donat Acklin,M,26,190,99,SUI,1992,Winter,Bobsleigh,Bobsleigh Men's Two,Gold
